eggNOG,n,post_prob
NOG217794,2.0,0.03658008031585247
NOG46236,2.0,0.03494798299594736
COG4605,6.0,0.034312999934075564
NOG21733,1.0,0.03355220439354623
NOG117421,1.0,0.0322387936536652
NOG62091,2.0,0.031825619863333425
NOG43512,1.0,0.030344697078723264
NOG194096,4.0,0.02931849015967297
NOG83088,3.0,0.028839329560559318
NOG93106,1.0,0.028743667472886467
NOG139789,2.0,0.027656808974462346
COG3048,3.0,0.027413888868704765
NOG67602,3.0,0.026955147465725998
COG2310,15.0,0.026242990570875445
NOG44665,2.0,0.025689102001436002
NOG99039,4.0,0.025668992463221085
NOG40276,11.0,0.025588990242648747
COG0699,11.0,0.025112643143426566
COG3294,5.0,0.02493440293466376
NOG65350,2.0,0.0241302034645766
NOG176622,3.0,0.024010237722850648
NOG99801,1.0,0.02380968221405135
NOG24803,3.0,0.02374762067345209
NOG01410,15.0,0.02340304447800357
NOG65152,2.0,0.023391865547265578
NOG19106,2.0,0.02334675432694825
NOG221505,2.0,0.02283246494235302
NOG63147,6.0,0.02279777893449478
NOG102849,2.0,0.022739799225119386
NOG26400,3.0,0.02239025747722957
NOG101058,2.0,0.022173740306905297
NOG30287,3.0,0.021525445905846825
NOG195369,1.0,0.021517064104226626
NOG212382,1.0,0.021272785361050445
NOG104903,1.0,0.020994058432329342
NOG69343,3.0,0.020885893303081132
NOG18650,1.0,0.020872429673997196
NOG73446,3.0,0.020705564050712815
NOG89831,2.0,0.020315579454052646
NOG220332,1.0,0.020184036938153082
NOG217488,2.0,0.019985700846014236
NOG80115,2.0,0.019134754778207867
NOG11888,2.0,0.019006962360858373
NOG213999,2.0,0.018968019461736613
NOG96426,1.0,0.018733581467467238
NOG110572,3.0,0.018632477931219433
NOG32012,3.0,0.018347261720385817
NOG225142,3.0,0.018145652658528837
NOG97558,1.0,0.01795877228808601
NOG141592,1.0,0.017898042548315583
NOG212225,1.0,0.017810053957557675
NOG45733,7.0,0.01779539369351853
COG3247,5.0,0.017680390544130203
NOG07952,4.0,0.017495583469698196
NOG107131,3.0,0.0174871632622346
COG3616,3.0,0.017384335556355858
NOG229894,5.0,0.017251429829413793
COG3585,2.0,0.017250539861972225
NOG216099,1.0,0.01687090611600768
NOG01993,2.0,0.01683830689875962
NOG31746,3.0,0.016810110005172553
NOG212556,2.0,0.016752998779912945
NOG38629,6.0,0.016428346846515087
COG1550,1.0,0.01641018429773215
NOG90257,3.0,0.016350585789960386
NOG220464,1.0,0.01604632017805049
COG5587,7.0,0.015817905417785338
NOG04896,1.0,0.015746070962468377
NOG106781,7.0,0.015579181548670593
NOG214364,4.0,0.015552484985221215
NOG83896,1.0,0.015294100992452923
NOG63939,6.0,0.015277515216535387
COG4296,5.0,0.01501201424237022
NOG51856,1.0,0.015011282383369812
NOG104914,5.0,0.014961631843571696
NOG179069,2.0,0.014915208150167692
NOG103336,1.0,0.014891710346582572
NOG213786,1.0,0.0148196288830938
NOG45678,1.0,0.014729519746031206
NOG221901,4.0,0.01471596815148829
NOG215166,5.0,0.014607924529687651
NOG37464,1.0,0.01457472132096135
NOG16286,1.0,0.014458935084876843
NOG230324,2.0,0.014414533953409482
NOG29913,4.0,0.014396442205068215
NOG215273,2.0,0.014385635030298405
NOG220204,3.0,0.014340111423695463
NOG14697,1.0,0.014291860483450157
NOG85467,2.0,0.014181715153659074
NOG213201,3.0,0.014081864068485718
NOG216485,4.0,0.01389799996094305
NOG218826,2.0,0.013893134458556401
COG2368,3.0,0.013891968086170565
NOG89160,2.0,0.013854544817206502
