eggNOG,n,post_prob
NOG08589,1.0,0.008995766837495565
NOG97799,1.0,0.00899576683749552
NOG00442,1.0,0.008995766837495416
NOG64050,1.0,0.008995766837495282
NOG117700,1.0,0.008995766837495273
NOG38044,1.0,0.008995766837495194
NOG143840,1.0,0.008995766837495194
NOG97882,1.0,0.008995766837495105
NOG119151,1.0,0.008995766837495043
NOG190751,1.0,0.008995766837495039
NOG215530,1.0,0.008995766837495034
NOG104378,1.0,0.008995766837494989
NOG05954,1.0,0.008995766837494963
NOG56795,1.0,0.008995766837494906
NOG74604,1.0,0.008995766837494864
NOG223111,1.0,0.00899576683749486
NOG133737,1.0,0.008995766837494845
NOG72418,1.0,0.008995766837494819
NOG02705,1.0,0.008995766837494812
NOG103902,1.0,0.0089957668374948
NOG211473,1.0,0.008995766837494796
NOG62892,1.0,0.008995766837494753
NOG215787,1.0,0.008995766837494739
NOG27094,1.0,0.008995766837494739
NOG133302,1.0,0.008995766837494682
NOG212338,1.0,0.008995766837494654
NOG54832,1.0,0.00899576683749464
NOG05587,1.0,0.008995766837494614
COG0401,1.0,0.008995766837494614
NOG104257,1.0,0.008995766837494602
NOG220637,1.0,0.008995766837494599
NOG14115,1.0,0.008995766837494572
NOG110780,1.0,0.008995766837494553
NOG213915,1.0,0.008995766837494553
NOG203258,1.0,0.008995766837494538
NOG04260,1.0,0.008995766837494517
NOG111908,1.0,0.0089957668374945
NOG213256,1.0,0.0089957668374945
NOG215937,1.0,0.008995766837494475
NOG219017,1.0,0.008995766837494475
NOG221937,1.0,0.008995766837494472
COG4579,1.0,0.008995766837494472
NOG216076,1.0,0.008995766837494456
NOG220739,1.0,0.008995766837494456
NOG76640,1.0,0.008995766837494446
NOG102810,1.0,0.008995766837494415
NOG132629,1.0,0.008995766837494415
NOG26086,1.0,0.008995766837494411
NOG226935,1.0,0.008995766837494411
NOG211973,1.0,0.008995766837494408
NOG81779,1.0,0.008995766837494404
NOG39412,1.0,0.008995766837494396
NOG197846,1.0,0.008995766837494375
NOG219502,1.0,0.008995766837494371
NOG84263,1.0,0.008995766837494368
NOG79245,1.0,0.008995766837494359
NOG82380,1.0,0.008995766837494356
NOG47521,1.0,0.008995766837494356
NOG10992,1.0,0.008995766837494352
NOG118472,1.0,0.008995766837494349
NOG86160,1.0,0.008995766837494343
NOG88572,1.0,0.00899576683749434
NOG108822,1.0,0.008995766837494331
NOG125215,1.0,0.008995766837494331
NOG127739,1.0,0.008995766837494331
NOG208172,1.0,0.008995766837494324
NOG81311,1.0,0.008995766837494317
COG2911,1.0,0.008995766837494314
NOG215941,1.0,0.008995766837494309
NOG24853,1.0,0.008995766837494302
NOG83856,1.0,0.008995766837494302
NOG194950,1.0,0.008995766837494302
NOG164469,1.0,0.008995766837494293
COG1659,1.0,0.008995766837494293
NOG178070,1.0,0.008995766837494272
NOG61355,1.0,0.008995766837494272
NOG172216,1.0,0.008995766837494262
NOG75786,1.0,0.008995766837494257
NOG149731,1.0,0.008995766837494257
NOG92040,1.0,0.008995766837494257
NOG04896,1.0,0.008995766837494253
NOG229376,1.0,0.008995766837494253
NOG186867,1.0,0.00899576683749425
NOG228997,1.0,0.008995766837494245
COG4171,1.0,0.008995766837494245
NOG45074,1.0,0.008995766837494245
NOG218697,1.0,0.008995766837494245
NOG46721,1.0,0.008995766837494245
NOG132462,1.0,0.008995766837494245
NOG06503,1.0,0.008995766837494245
NOG96665,1.0,0.008995766837494245
NOG68400,1.0,0.008995766837494245
NOG103344,1.0,0.008995766837494245
NOG215958,1.0,0.008995766837494241
NOG62761,1.0,0.008995766837494241
NOG198392,1.0,0.008995766837494241
NOG150429,1.0,0.008995766837494241
NOG168824,1.0,0.008995766837494241
NOG222461,1.0,0.008995766837494241
NOG110314,1.0,0.008995766837494241
NOG42066,1.0,0.008995766837494241
NOG54751,1.0,0.008995766837494238
NOG128625,1.0,0.008995766837494238
NOG155334,1.0,0.008995766837494238
NOG207553,1.0,0.008995766837494238
NOG185137,1.0,0.008995766837494238
COG4130,1.0,0.008995766837494238
NOG94774,1.0,0.008995766837494238
NOG203014,1.0,0.008995766837494238
NOG188385,1.0,0.008995766837494234
COG4109,1.0,0.008995766837494234
NOG134852,1.0,0.008995766837494234
NOG127389,1.0,0.008995766837494234
NOG136050,1.0,0.008995766837494234
COG5614,1.0,0.008995766837494234
NOG56713,1.0,0.008995766837494234
NOG53587,1.0,0.008995766837494229
NOG221446,1.0,0.008995766837494229
NOG06397,1.0,0.008995766837494229
NOG226377,1.0,0.008995766837494229
NOG129310,1.0,0.008995766837494229
NOG87104,1.0,0.008995766837494229
NOG99684,1.0,0.008995766837494229
NOG80143,1.0,0.008995766837494229
NOG165571,1.0,0.008995766837494229
NOG57111,1.0,0.008995766837494226
NOG225180,1.0,0.008995766837494226
COG3945,1.0,0.008995766837494226
NOG38224,1.0,0.008995766837494226
NOG85166,1.0,0.008995766837494226
NOG17343,1.0,0.008995766837494226
NOG14373,1.0,0.008995766837494226
NOG62985,1.0,0.008995766837494226
NOG194030,1.0,0.008995766837494226
NOG229759,1.0,0.008995766837494226
NOG107097,1.0,0.00899576683749422
NOG27115,1.0,0.00899576683749422
NOG19620,1.0,0.00899576683749422
NOG25447,1.0,0.00899576683749422
NOG74616,1.0,0.00899576683749422
NOG69238,1.0,0.00899576683749422
NOG226734,1.0,0.00899576683749422
NOG215735,1.0,0.008995766837494217
NOG181291,1.0,0.008995766837494217
NOG230122,1.0,0.008995766837494217
NOG127802,1.0,0.008995766837494217
NOG207339,1.0,0.008995766837494217
NOG90006,1.0,0.008995766837494213
NOG80962,1.0,0.008995766837494213
NOG19718,1.0,0.008995766837494213
