eggNOG,n,post_prob_Firmicutes,post_prob_Gamma
NOG125765,1.0,0.003914992173955597,0.037877533910713336
NOG186175,1.0,0.003914992173955597,0.037877533910713336
NOG89244,1.0,0.004140598696561222,0.03765190574880967
NOG104553,3.0,0.0030641493376392624,0.03551452496274282
NOG148692,1.0,0.0040482960630489435,0.03507896342944352
NOG06695,6.0,0.0002988537218226523,0.03407894410431386
NOG117091,2.0,0.00343904329228134,0.03296889311283867
NOG79223,4.0,0.0007209277369007405,0.03287210096748678
NOG19514,2.0,0.0034355987334443285,0.031994122559652005
NOG84308,1.0,0.0038730677338033453,0.031780061250724086
NOG44488,3.0,0.00087562634582996,0.03103689857847288
NOG139063,1.0,0.003872700432034229,0.029800544303117207
NOG102746,1.0,0.0038736754205440102,0.0297827613279639
NOG82136,3.0,0.001137086535023515,0.029712120291756457
NOG211956,7.0,0.00016095870309377564,0.029349737411456037
NOG12036,9.0,3.083429613572925e-05,0.02890850637414876
COG4275,1.0,0.010614750748234078,0.027768217027450682
NOG69325,3.0,0.001413510251495181,0.02737065222772253
NOG21285,7.0,0.002568573863954112,0.026076744597153742
NOG96510,4.0,0.005406169304406957,0.02568732554318293
NOG200489,1.0,0.0038725232684756975,0.025685984077812845
NOG124033,1.0,0.0065834239744298,0.02488956118915604
NOG185648,1.0,0.12274225931446925,0.02451659982434996
NOG89156,1.0,0.0038722364592419438,0.022878219509637088
NOG164926,4.0,0.0009167385184621483,0.021871813306386385
NOG101304,1.0,0.004513740503704948,0.021255685994456142
NOG79078,2.0,0.003059532735404811,0.020752898828327586
NOG148031,1.0,0.003885025330870505,0.02048680997993629
NOG215301,4.0,0.0012355452605233102,0.020285790110244117
NOG224764,1.0,0.003872512695806975,0.019952520686262538
NOG11135,3.0,0.006764137746401276,0.01983383017527569
NOG81377,2.0,0.003708778860141491,0.019565030091359847
NOG56973,6.0,0.0008967671880268012,0.019145652163565428
NOG26450,4.0,0.0006501797661726317,0.01905512226599341
NOG231669,2.0,0.08622224158656244,0.019013949295750274
NOG01333,2.0,0.0034238857180473115,0.018744292826373625
NOG43193,5.0,0.054980521497251966,0.0187173215577862
NOG101577,2.0,0.007802181158741314,0.018164985534947446
NOG225531,3.0,0.0013250831691437625,0.018102384521141008
NOG37118,1.0,0.0043909875242185755,0.01785256207489502
NOG152299,8.0,0.0007019931580215475,0.01776819701989559
NOG210714,5.0,0.0007311096029403873,0.01754945534966125
NOG92497,3.0,0.08588011532405858,0.01739295848045911
NOG160564,2.0,0.0018350072017583605,0.017184204194108012
NOG41099,1.0,0.004025515211711678,0.017013684263641964
NOG08704,1.0,0.004649883208238424,0.016916796641149957
NOG80921,4.0,0.0027001395308615147,0.016703506482052592
NOG225751,1.0,0.0040176544417835965,0.01602321799846896
NOG203688,3.0,0.0019138463877052027,0.01547671438120081
COG4064,1.0,0.003915774196142397,0.0151897006070681
NOG38886,1.0,0.4907347481470637,0.015133435925479943
NOG136290,2.0,0.0019898408268428803,0.015108501144884169
NOG106979,1.0,0.008848197034267159,0.015082304574397062
NOG110836,9.0,0.0031366539698953607,0.015008698731788754
NOG116229,2.0,0.00590372029358812,0.014957204409384185
NOG199550,2.0,0.7674027862350108,0.014909867207787334
NOG215424,4.0,0.000336414665833855,0.014425297303519775
NOG212027,1.0,0.004953848807264488,0.014224229450071298
NOG42881,1.0,0.004583855456297636,0.014079610625355374
NOG64259,3.0,0.005771274144715112,0.013584130922192293
NOG225711,1.0,0.004231052696283255,0.013527099453937123
NOG00738,2.0,0.0014950646054351885,0.013478436793307418
NOG85737,1.0,0.0014975947595456064,0.013426013556831687
NOG43284,3.0,0.001563596536765693,0.013424003728314149
NOG221443,1.0,0.005464621107006421,0.013294600177580534
NOG62004,10.0,4.9836522469280434e-05,0.013257461436840815
NOG80340,1.0,0.005267782366694936,0.013210715098206446
NOG30406,2.0,0.001753767835722609,0.01296030709515391
NOG111741,7.0,0.00022967027285976583,0.012930373570127137
NOG44115,2.0,0.0015363982009132635,0.012735535726300555
NOG89011,2.0,0.0015363982009132635,0.012735535726300555
NOG84620,1.0,0.003978709254650735,0.012614638957673362
NOG157359,1.0,0.007958660879168845,0.012504200648076379
NOG40683,1.0,0.003876549130854411,0.012461962024888404
NOG223489,5.0,8.585194500547738e-05,0.011960671342520787
NOG79599,1.0,0.003969968311100206,0.011935593959030507
NOG87918,2.0,0.0015628267196757689,0.011922425103622951
NOG117715,3.0,0.002571405028610217,0.011801084308250977
NOG204715,1.0,0.0038732988412652296,0.01177133138449628
NOG78279,3.0,0.0013233020602195832,0.011676893957196843
NOG195201,2.0,0.0015435033622141412,0.01166104318404201
NOG00475,1.0,0.007963560180697441,0.01161711508152464
NOG121323,2.0,0.007776375844143709,0.011603205862724664
NOG176378,1.0,0.003875679755564171,0.011590432629548206
NOG11414,4.0,0.0005281526081653209,0.011549075173503105
NOG07852,2.0,0.005167404104421644,0.011501936111993644
