eggNOG,n,post_prob
NOG175631,4.0,0.03671315454214369
NOG03611,5.0,0.036478018012672773
NOG118778,1.0,0.035980193047851786
NOG61025,13.0,0.03582964092026729
NOG228852,1.0,0.03547453014980441
NOG05298,7.0,0.03453132574890879
NOG230321,3.0,0.033982922187547136
NOG166511,9.0,0.03250145880963254
NOG219832,1.0,0.03148853701092852
NOG216707,3.0,0.03135770999044195
NOG209256,1.0,0.031224508140009887
NOG215712,1.0,0.03113106592012118
NOG18430,7.0,0.031018829395957025
NOG220956,8.0,0.03100778323536198
NOG89338,8.0,0.02975987607660167
NOG66457,2.0,0.02961318493761932
NOG219698,2.0,0.029541322744233784
NOG214540,2.0,0.02946619731154324
NOG79511,3.0,0.028938493035438283
NOG93106,1.0,0.028743667472886467
NOG36844,5.0,0.028645235127766497
NOG07739,2.0,0.028297365914231123
NOG205025,7.0,0.028222969641963802
NOG197465,50.0,0.028103800783114925
NOG198427,8.0,0.02780988279374185
NOG224503,1.0,0.026964783868931592
COG4535,3.0,0.026671121410406718
NOG84032,17.0,0.024811559257291425
NOG219939,3.0,0.02479741732416504
NOG31746,2.0,0.02452860423155097
NOG229887,1.0,0.023711376059151447
NOG121377,1.0,0.023625962380612393
NOG78592,4.0,0.022946310862170027
NOG218627,3.0,0.02271369308006035
NOG219197,2.0,0.022504330536276526
NOG200508,1.0,0.022341948066886476
NOG101058,2.0,0.022173740306905297
NOG52648,7.0,0.022109887569858384
NOG69267,5.0,0.021824533443430282
NOG95228,4.0,0.02110216475829248
NOG85292,3.0,0.021005684770601493
NOG104903,1.0,0.020994058432329342
NOG75240,3.0,0.02095438410970325
NOG86939,2.0,0.02056198791192487
NOG12691,4.0,0.020296202454385993
NOG88377,3.0,0.020145401761054456
NOG110700,2.0,0.01970056420424346
NOG223540,5.0,0.019602032652885938
NOG104698,9.0,0.0194116170316533
NOG117298,5.0,0.018951664408003818
NOG102541,2.0,0.01857167804199247
NOG38815,3.0,0.018459644259208714
NOG122603,5.0,0.01844531809314139
NOG141592,1.0,0.017898042548315583
NOG216325,3.0,0.017760001064132527
NOG95649,3.0,0.017336541912271037
NOG100908,1.0,0.017285143307832606
NOG35887,1.0,0.0171561221831222
NOG30229,7.0,0.017128200512847434
NOG86738,14.0,0.01710395210068706
NOG209031,2.0,0.017082984099947466
NOG138662,2.0,0.016817406977037756
NOG01297,1.0,0.01675168857664376
NOG222646,2.0,0.016653065907346252
NOG238681,1.0,0.01662618541348466
NOG166414,1.0,0.016625697991235467
NOG117867,10.0,0.016441267518666064
NOG95186,1.0,0.016362593119108763
NOG213181,3.0,0.016340396132933928
NOG226101,2.0,0.016070690252323987
NOG185648,5.0,0.015994619382862525
NOG122079,3.0,0.015891469021912085
NOG106916,3.0,0.015820831832580342
NOG96833,1.0,0.01573507197993539
NOG106754,1.0,0.015671776741561616
NOG197859,4.0,0.015379311563785737
NOG55419,5.0,0.015213104985518462
NOG41904,3.0,0.015152309331464811
NOG158902,6.0,0.01503372117033048
NOG100566,5.0,0.015001628921211135
NOG208642,4.0,0.014800347241269388
